,AGEP,MSP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
232,75-84,Separated,2.7,0.0,3.7,1.8,0.9,4,1.9,0.0,0.7,3.1,1.2
233,75-84,Never married,-0.2,3.0,0.7,-1.1,0.9,4,-1.9,3.0,-3.1,-0.7,1.2
234,85-99,"Now married, spouse present",1.7,4.0,2.6,0.7,0.9,4,0.2,4.0,-0.9,1.4,1.2
235,85-99,"Now Married, spouse absent",-0.4,0.0,0.5,-1.3,0.9,4,1.9,0.0,0.7,3.1,1.2
236,85-99,Widowed,13.3,14.0,14.2,12.3,0.9,4,12.4,14.0,11.2,13.5,1.2
237,85-99,Divorced,2.0,3.0,2.9,1.0,0.9,4,2.5,3.0,1.3,3.7,1.2
238,85-99,Separated,-1.1,1.0,-0.2,-2.0,0.9,4,-2.0,1.0,-3.2,-0.8,1.2
239,85-99,Never married,-1.2,0.0,-0.3,-2.2,0.9,4,-2.4,0.0,-3.6,-1.2,1.2
240,15-24,"Now married, spouse present",1.9,4.0,2.7,1.1,0.8,5,1.5,4.0,0.6,2.5,0.9
241,15-24,"Now Married, spouse absent",4.5,2.0,5.3,3.7,0.8,5,4.6,2.0,3.7,5.6,0.9
242,15-24,Widowed,-2.3,0.0,-1.5,-3.0,0.8,5,-2.2,0.0,-3.1,-1.2,0.9
243,15-24,Divorced,1.9,0.0,2.7,1.1,0.8,5,1.6,0.0,0.6,2.5,0.9
244,15-24,Separated,-0.4,0.0,0.4,-1.2,0.8,5,-0.9,0.0,-1.8,0.0,0.9
245,15-24,Never married,134.3,137.0,135.0,133.5,0.8,5,133.7,137.0,132.8,134.7,0.9
246,25-34,"Now married, spouse present",49.1,47.0,49.9,48.4,0.8,5,48.3,47.0,47.4,49.3,0.9
247,25-34,"Now Married, spouse absent",6.4,6.0,7.2,5.6,0.8,5,5.9,6.0,5.0,6.9,0.9
248,25-34,Widowed,-1.9,0.0,-1.1,-2.7,0.8,5,-2.0,0.0,-2.9,-1.0,0.9
249,25-34,Divorced,0.7,2.0,1.5,-0.1,0.8,5,0.0,2.0,-0.9,1.0,0.9
250,25-34,Separated,1.8,1.0,2.6,1.0,0.8,5,1.8,1.0,0.8,2.7,0.9
251,25-34,Never married,104.0,102.0,104.8,103.2,0.8,5,103.6,102.0,102.7,104.6,0.9
252,35-44,"Now married, spouse present",85.1,84.0,85.9,84.3,0.8,5,85.3,84.0,84.4,86.3,0.9
253,35-44,"Now Married, spouse absent",7.8,8.0,8.6,7.0,0.8,5,8.9,8.0,8.0,9.8,0.9
254,35-44,Widowed,0.9,0.0,1.7,0.1,0.8,5,1.6,0.0,0.7,2.6,0.9
255,35-44,Divorced,10.9,10.0,11.6,10.1,0.8,5,11.0,10.0,10.0,11.9,0.9
